FIR_ID,Crime_Type,Crime_Category,District,Police_Station,Latitude,Longitude,Date,Time,Victim_Age,Victim_Gender,Suspect_ID,Suspect_Age,Suspect_Gender,Previous_Offenses,Socio_Economic_Index,Investigation_Status,Crime_Severity,Financial_Loss,Risk_Level
FIR-2024-10000,Cyber Bullying,Cyber Crimes,Bengaluru Urban,Koramangala PS,12.972842537055957,77.58812930875337,2025-12-20,20:50:21,46,Female,SUS-0098,36,Male,0,80,Arrested,Low,118392.3,Low
FIR-2024-10001,Robbery,Property Crimes,Bengaluru Urban,Indiranagar PS,12.958325405527122,77.59809109875809,2026-06-07,02:43:59,23,Female,SUS-0578,25,Female,0,39,Closed,Low,97590.98,Low
FIR-2025-10002,Hacking,Cyber Crimes,Bengaluru Urban,Koramangala PS,12.955798125913217,77.60696187340096,2024-07-31,04:48:52,57,Male,SUS-0079,16,Male,0,61,Untraced,Low,45605.56,Low
FIR-2026-10003,Domestic Violence,Crimes Against Women,Mysuru,Vidyaranyapuram PS,12.35235078593165,76.68428529288921,2025-11-24,23:08:50,44,Female,SUS-0513,38,Male,0,52,Closed,Medium,0.0,Low
FIR-2024-10004,Assault,Violent Crimes,Ballari,Gandhinagar PS,15.17840802166739,76.936170551106,2024-08-25,10:38:49,29,Male,SUS-0407,35,Male,0,34,Under Investigation,Medium,0.0,Medium
FIR-2026-10005,Money Laundering,Economic Crimes,Kalaburagi,Station Bazar PS,17.342941556112688,76.75170538889266,2026-03-13,11:35:24,55,Male,SUS-0382,20,Male,3,22,Under Investigation,High,113735.71,High
FIR-2026-10006,Harassment,Crimes Against Women,Kalaburagi,Station Bazar PS,17.31460396143786,76.8271808100467,2026-03-28,02:17:09,27,Female,SUS-0158,39,Female,0,29,Under Investigation,High,0.0,Medium
FIR-2024-10007,Bribery,Economic Crimes,Mysuru,Lashkar PS,12.310464249880551,76.60757129345917,2024-01-06,14:23:48,62,Female,SUS-0083,24,Female,1,55,Closed,High,107477.9,Medium
FIR-2026-10008,Phishing,Cyber Crimes,Bengaluru Urban,Jayanagar PS,12.92012077742877,77.61251571434232,2025-02-21,17:05:38,42,Female,SUS-0395,41,Male,0,52,Under Investigation,Medium,13290.08,Low
FIR-2024-10009,Hacking,Cyber Crimes,Mysuru,Devaraja PS,12.310117107999394,76.66800946335565,2025-08-08,12:10:08,32,Male,SUS-0505,30,Male,0,45,Chargesheeted,Low,26819.77,Low
